source_id,jci_name,description,sensor_type,sensor_type_error,unit,type,data_type,name
568_0_3003453,BSB.N5THFLR.RM-5013.VAV-21.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 21 ACTCLG SP
568_0_3003472,BSB.N5THFLR.RM-5012.VAV-22.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 22 ACTCLG SP
568_0_3003491,BSB.N5THFLR.RM-5011B.VAV-23.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 23 ACTCLG SP
568_0_3003510,BSB.N5THFLR.RM-5010.VAV-24.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 24 ACTCLG SP
568_0_3003529,BSB.N5THFLR.RM-5008.VAV-25.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 25 ACTCLG SP
568_0_3003548,BSB.N5THFLR.RM-5006.VAV-26.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 26 ACTCLG SP
568_0_3003567,BSB.N5THFLR.RM-5004.VAV-28.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 28 ACTCLG SP
568_0_3003586,BSB.N5THFLR.RM-5001B.VAV-29.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 29 ACTCLG SP
568_0_3003614,BSB.N5THFLR.RM-5045.VAV-3.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 3 ACTCLG SP
568_0_3003633,BSB.N5THFLR.WRR.VAV-30.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 30 ACTCLG SP
568_0_3003652,BSB.N5THFLR.LOBBY.VAV-31.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 31 ACTCLG SP
568_0_3003680,BSB.N5THFLR.RM-5052.VAV-32.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 32 ACTCLG SP
568_0_3003708,BSB.N5THFLR.RM-5054.VAV-33.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 33 ACTCLG SP
568_0_3003727,BSB.N5THFLR.RM-5062.VAV-35.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 35 ACTCLG SP
568_0_3003746,BSB.N5THFLR.RM-5064.VAV-36.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 36 ACTCLG SP
568_0_3003765,BSB.N5THFLR.VAV-5SW.VAV-37.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 37 ACTCLG SP
568_0_3003787,BSB.N5THFLR.RM-5066.VAV-38.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 38 ACTCLG SP
568_0_3003806,BSB.N5THFLR.RM-5005.VAV-39.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 39 ACTCLG SP
568_0_3003825,BSB.N5THFLR.RM-5042.VAV-4.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 4 ACTCLG SP
568_0_3003844,BSB.N5THFLR.RM-5053.VAV-40.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 40 ACTCLG SP
568_0_3003863,BSB.N5THFLR.RM-5067.VAV-41.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 41 ACTCLG SP
568_0_3003891,BSB.N5THFLR.RM-5068.VAV-42.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 42 ACTCLG SP
568_0_3003910,BSB.N5THFLR.RM-5072.VAV-43.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 43 ACTCLG SP
568_0_3003929,BSB.N5THFLR.VAV-5NW1.VAV-44.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 44 ACTCLG SP
568_0_3003951,BSB.N5THFLR.RM-5074.VAV-45.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 45 ACTCLG SP
568_0_3003970,BSB.N5THFLR.RM-5076.VAV-46.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 46 ACTCLG SP
568_0_3003989,BSB.N5THFLR.RM-5073.VAV-47.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 47 ACTCLG SP
568_0_3004008,BSB.N5THFLR.RM-5078.VAV-48.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 48 ACTCLG SP
568_0_3004027,BSB.N5THFLR.RM-5040.VAV-5.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 5 ACTCLG SP
568_0_3004046,BSB.N5THFLR.RM-5080.VAV-50.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 50 ACTCLG SP
568_0_3004065,BSB.N5THFLR.RM-5084.VAV-51.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 51 ACTCLG SP
568_0_3004084,BSB.N5THFLR.VAV-5NW2.VAV-52.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 52 ACTCLG SP
568_0_3004106,BSB.N5THFLR.RM-5086.VAV-53.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 53 ACTCLG SP
568_0_3004125,BSB.N5THFLR.RM-5090.VAV-55.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 55 ACTCLG SP
568_0_3004144,BSB.N5THFLR.RM-5092.VAV-56.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 56 ACTCLG SP
568_0_3004163,BSB.N5THFLR.RM-5095A.VAV-57.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 57 ACTCLG SP
568_0_3004182,BSB.N5THFLR.RM-5094.VAV-58.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 58 ACTCLG SP
568_0_3004201,BSB.N5THFLR.RM-5096.VAV-59.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 59 ACTCLG SP
568_0_3004220,BSB.N5THFLR.RM-5039A.VAV-6.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 6 ACTCLG SP
568_0_3004239,BSB.N5THFLR.NW-CORR.VAV-60.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 60 ACTCLG SP
568_0_3004267,BSB.N5THFLR.RM-5098.VAV-61.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 61 ACTCLG SP
568_0_3004286,BSB.N5THFLR.RM-5017.VAV-62.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 62 ACTCLG SP
568_0_3004305,BSB.N5THFLR.RM-5026.VAV-63.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 63 ACTCLG SP
568_0_3004324,BSB.N5THFLR.RM-5044.VAV-64.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 64 ACTCLG SP
568_0_3004343,BSB.N5THFLR.RM-5046A.VAV-65.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 65 ACTCLG SP
568_0_3004362,BSB.N5THFLR.RM-5055.VAV-66.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 66 ACTCLG SP
568_0_3004381,BSB.N5THFLR.RM-5034.VAV-7.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 7 ACTCLG SP
568_0_3004400,BSB.N5THFLR.VAV-5NE2.VAV-8.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 8 ACTCLG SP
568_0_3004422,BSB.N5THFLR.RM-5032.VAV-9.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 68 N2 1 VAV 9 ACTCLG SP
567_0_3003972,BSB.N3RDFLR.RM-3048.VAV-1.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 1 ACTCLG SP
567_0_3003991,BSB.N3RDFLR.VAV-3NE2.VAV-10.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 10 ACTCLG SP
567_0_3004013,BSB.N3RDFLR.RM-3032.VAV-11.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 11 ACTCLG SP
567_0_3004032,BSB.N3RDFLR.RM-3028A.VAV-12.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 12 ACTCLG SP
567_0_3004051,BSB.N3RDFLR.RM-3028B.VAV-13.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 13 ACTCLG SP
567_0_3004070,BSB.N3RDFLR.VAV-3NE1.VAV-15.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 15 ACTCLG SP
567_0_3004092,BSB.N3RDFLR.RM-3026.VAV-16.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 16 ACTCLG SP
567_0_3004111,BSB.N3RDFLR.MID-CORR.VAV-17.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 17 ACTCLG SP
567_0_3004139,BSB.N3RDFLR.RM-3020.VAV-18.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 18 ACTCLG SP
567_0_3004158,BSB.N3RDFLR.RM-3018.VAV-19.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 19 ACTCLG SP
567_0_3004177,BSB.N3RDFLR.RM-3047B.VAV-2.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 2 ACTCLG SP
567_0_3004196,BSB.N3RDFLR.RM-3024.VAV-20.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 20 ACTCLG SP
567_0_3004215,BSB.N3RDFLR.VAV-3SE.VAV-21.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 21 ACTCLG SP
567_0_3004237,BSB.N3RDFLR.RM-3015A.VAV-22.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 22 ACTCLG SP
567_0_3004256,BSB.N3RDFLR.RM-3011B.VAV-23.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 23 ACTCLG SP
567_0_3004275,BSB.N3RDFLR.RM-3010.VAV-24.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 24 ACTCLG SP
567_0_3004294,BSB.N3RDFLR.RM-3009.VAV-25.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 25 ACTCLG SP
567_0_3004313,BSB.N3RDFLR.RM-3014.VAV-26.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 26 ACTCLG SP
567_0_3004332,BSB.N3RDFLR.RM-3004.VAV-27.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 27 ACTCLG SP
567_0_3004351,BSB.N3RDFLR.RM-3003.VAV-28.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 28 ACTCLG SP
567_0_3004370,BSB.N3RDFLR.RM-3002.VAV-29.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 29 ACTCLG SP
567_0_3004389,BSB.N3RDFLR.RM-3046.VAV-3.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 3 ACTCLG SP
567_0_3004408,BSB.N3RDFLR.RM-3000A.VAV-30.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 30 ACTCLG SP
567_0_3004427,BSB.N3RDFLR.LOBBY.VAV-31.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 31 ACTCLG SP
567_0_3004455,BSB.N3RDFLR.RM-3001.VAV-32.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 32 ACTCLG SP
567_0_3004484,BSB.N3RDFLR.RM-3052.VAV-34.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 34 ACTCLG SP
567_0_3004512,BSB.N3RDFLR.WRR.VAV-35.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 35 ACTCLG SP
567_0_3004531,BSB.N3RDFLR.RM-3053A.VAV-36.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 36 ACTCLG SP
567_0_3004550,BSB.N3RDFLR.RM-3055.VAV-37.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 37 ACTCLG SP
567_0_3004569,BSB.N3RDFLR.RM-3054.VAV-38.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 38 ACTCLG SP
567_0_3004588,BSB.N3RDFLR.RM-3054A.VAV-39.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 39 ACTCLG SP
567_0_3004607,BSB.N3RDFLR.RM-3044.VAV-4.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 4 ACTCLG SP
567_0_3004626,BSB.N3RDFLR.RM-3053B.VAV-40.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 40 ACTCLG SP
567_0_3004645,BSB.N3RDFLR.RM-3060.VAV-41.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 41 ACTCLG SP
567_0_3004665,BSB.N3RDFLR.RM-3062.VAV-42.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 42 ACTCLG SP
567_0_3004684,BSB.N3RDFLR.RM-3065A.VAV-43.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 43 ACTCLG SP
567_0_3004703,BSB.N3RDFLR.RM-3068.VAV-44.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 44 ACTCLG SP
567_0_3004722,BSB.N3RDFLR.VAV-3NW1.VAV-45.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 45 ACTCLG SP
567_0_3004744,BSB.N3RDFLR.VAV-3SW.VAV-46.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 46 ACTCLG SP
567_0_3004766,BSB.N3RDFLR.RM-3074.VAV-47.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 47 ACTCLG SP
567_0_3004785,BSB.N3RDFLR.RM-3077.VAV-48.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 48 ACTCLG SP
567_0_3004804,BSB.N3RDFLR.RM-3084.VAV-49.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 49 ACTCLG SP
567_0_3004823,BSB.N3RDFLR.RM-3042.VAV-5.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 5 ACTCLG SP
567_0_3004842,BSB.N3RDFLR.RM-3086.VAV-50.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 50 ACTCLG SP
567_0_3004861,BSB.N3RDFLR.RM-3080.VAV-51.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 51 ACTCLG SP
567_0_3004880,BSB.N3RDFLR.RM-3082.VAV-52.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 52 ACTCLG SP
567_0_3004899,BSB.N3RDFLR.RM-3087B.VAV-53.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 53 ACTCLG SP
567_0_3004921,BSB.N3RDFLR.RM-3087A.VAV-54.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 54 ACTCLG SP
567_0_3004940,BSB.N3RDFLR.RM-3090.VAV-55.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 55 ACTCLG SP
567_0_3004959,BSB.N3RDFLR.VAV-3NW2.VAV-56.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 56 ACTCLG SP
567_0_3004981,BSB.N3RDFLR.RM-3092B.VAV-57.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 57 ACTCLG SP
567_0_3005000,BSB.N3RDFLR.NW-CORR.VAV-58.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 58 ACTCLG SP
567_0_3005028,BSB.N3RDFLR.RM-3092A.VAV-59.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 59 ACTCLG SP
567_0_3005047,BSB.N3RDFLR.RM-3041A.VAV-6.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 6 ACTCLG SP
567_0_3005066,BSB.N3RDFLR.RM-3092C.VAV-60.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 60 ACTCLG SP
567_0_3005085,BSB.N3RDFLR.RM-3078.VAV-63.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 63 ACTCLG SP
567_0_3005104,BSB.N3RDFLR.RM-3027A.VAV-64.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 64 ACTCLG SP
567_0_3005126,BSB.N3RDFLR.RM-3040.VAV-7.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 7 ACTCLG SP
567_0_3005145,BSB.N3RDFLR.NE-CORR.VAV-8.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 8 ACTCLG SP
567_0_3005173,BSB.N3RDFLR.RM-3034.VAV-9.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 1 VAV 9 ACTCLG SP
567_0_3005354,BSB.N4THFLR.RM-4046A.VAV-1.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 1 ACTCLG SP
567_0_3005373,BSB.N4THFLR.VAV-4NE2.VAV-10.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 10 ACTCLG SP
567_0_3005395,BSB.N4THFLR.RM-4028B.VAV-11.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 11 ACTCLG SP
567_0_3005414,BSB.N4THFLR.RM-4019.VAV-12.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 12 ACTCLG SP
567_0_3005433,BSB.N4THFLR.VAV-4NE1.VAV-13.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 13 ACTCLG SP
567_0_3005455,BSB.N4THFLR.RM-4017.VAV-14.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 14 ACTCLG SP
567_0_3005474,BSB.N4THFLR.WRR.VAV-15.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 15 ACTCLG SP
567_0_3005493,BSB.N4THFLR.RM-4024.VAV-16.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 16 ACTCLG SP
567_0_3005512,BSB.N4THFLR.RM-4022.VAV-17.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 17 ACTCLG SP
567_0_3005531,BSB.N4THFLR.VAV-4SE.VAV-18.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 18 ACTCLG SP
567_0_3005553,BSB.N4THFLR.RM-4012.VAV-19.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 19 ACTCLG SP
567_0_3005572,BSB.N4THFLR.RM-4046C.VAV-2.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 2 ACTCLG SP
567_0_3005591,BSB.N4THFLR.RM-4011.VAV-20.ACTCLG-SP,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Input,0,NAE 67 N2 2 VAV 20 ACTCLG SP
