source_id,jci_name,description,sensor_type,unit,type,data_type,name
510_0_3012900,BioLib 2ndFl RM-204.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA104 DMPRPOS
510_0_3012908,BioLib 2ndFl RM-204.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA104 SA VP
510_0_3012910,BioLib 2ndFl RM-204.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA104 SUPFLOW
510_0_3012912,BioLib 2ndFl RM-204.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA104 WC ADJ
510_0_3012913,BioLib 2ndFl RM-204.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA104 ZN T
510_0_3012914,BioLib 2ndFl RM-205.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA105 ACLG SP
510_0_3012915,BioLib 2ndFl RM-205.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA105 AHTG SP
510_0_3012920,BioLib 2ndFl RM-205.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA105 DMPRPOS
510_0_3012928,BioLib 2ndFl RM-205.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA105 SA VP
510_0_3012930,BioLib 2ndFl RM-205.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA105 SUPFLOW
510_0_3012932,BioLib 2ndFl RM-205.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA105 WC ADJ
510_0_3012933,BioLib 2ndFl RM-205.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA105 ZN T
510_0_3012934,BioLib 2ndFl RM-206.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA106 ACLG SP
510_0_3012935,BioLib 2ndFl RM-206.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA106 AHTG SP
510_0_3012940,BioLib 2ndFl RM-206.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA106 DMPRPOS
510_0_3012948,BioLib 2ndFl RM-206.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA106 SA VP
510_0_3012950,BioLib 2ndFl RM-206.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA106 SUPFLOW
510_0_3012952,BioLib 2ndFl RM-206.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA106 WC ADJ
510_0_3012953,BioLib 2ndFl RM-206.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA106 ZN T
510_0_3012954,BioLib 1stFl RM-114.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA107 ACLG SP
510_0_3012955,BioLib 1stFl RM-114.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA107 AHTG SP
510_0_3012960,BioLib 1stFl RM-114.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA107 DMPRPOS
510_0_3012964,BioLib 1stFl RM-114.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA107 SA VP
510_0_3012966,BioLib 1stFl RM-114.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA107 SUPFLOW
510_0_3012968,BioLib 1stFl RM-114.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA107 WC ADJ
510_0_3012969,BioLib 1stFl RM-114.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA107 ZN T
510_0_3012970,BioLib 1stFl RM-104B.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA108 ACLG SP
510_0_3012971,BioLib 1stFl RM-104B.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA108 AHTG SP
510_0_3012976,BioLib 1stFl RM-104B.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA108 DMPRPOS
510_0_3012980,BioLib 1stFl RM-104B.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA108 SA VP
510_0_3012982,BioLib 1stFl RM-104B.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA108 SUPFLOW
510_0_3012984,BioLib 1stFl RM-104B.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA108 WC ADJ
510_0_3012985,BioLib 1stFl RM-104B.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA108 ZN T
510_0_3012986,BioLib 1stFl RM-115.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA109 ACLG SP
510_0_3012987,BioLib 1stFl RM-115.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA109 AHTG SP
510_0_3012992,BioLib 1stFl RM-115.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA109 DMPRPOS
510_0_3012996,BioLib 1stFl RM-115.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA109 SA VP
510_0_3012998,BioLib 1stFl RM-115.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA109 SUPFLOW
510_0_3013000,BioLib 1stFl RM-115.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA109 WC ADJ
510_0_3013001,BioLib 1stFl RM-115.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA109 ZN T
510_0_3013002,BioLib 2ndFl RM-207.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA110 ACLG SP
510_0_3013003,BioLib 2ndFl RM-207.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA110 AHTG SP
510_0_3013008,BioLib 2ndFl RM-207.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA110 DMPRPOS
510_0_3013016,BioLib 2ndFl RM-207.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA110 SA VP
510_0_3013018,BioLib 2ndFl RM-207.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA110 SUPFLOW
510_0_3013020,BioLib 2ndFl RM-207.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA110 WC ADJ
510_0_3013021,BioLib 2ndFl RM-207.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA110 ZN T
510_0_3013022,BioLib 1stFl RM-104C.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA111 ACLG SP
510_0_3013023,BioLib 1stFl RM-104C.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA111 AHTG SP
510_0_3013028,BioLib 1stFl RM-104C.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA111 DMPRPOS
510_0_3013032,BioLib 1stFl RM-104C.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA111 SA VP
510_0_3013034,BioLib 1stFl RM-104C.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA111 SUPFLOW
510_0_3013036,BioLib 1stFl RM-104C.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA111 WC ADJ
510_0_3013037,BioLib 1stFl RM-104C.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA111 ZN T
510_0_3013038,BioLib 1stFl RM-110.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA112 ACLG SP
510_0_3013039,BioLib 1stFl RM-110.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA112 AHTG SP
510_0_3013044,BioLib 1stFl RM-110.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA112 DMPRPOS
510_0_3013048,BioLib 1stFl RM-110.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA112 SA VP
510_0_3013050,BioLib 1stFl RM-110.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA112 SUPFLOW
510_0_3013052,BioLib 1stFl RM-110.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA112 WC ADJ
510_0_3013053,BioLib 1stFl RM-110.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA112 ZN T
510_0_3013054,BioLib 1stFl RM-109.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA113 ACLG SP
510_0_3013055,BioLib 1stFl RM-109.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA113 AHTG SP
510_0_3013060,BioLib 1stFl RM-109.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA113 DMPRPOS
510_0_3013064,BioLib 1stFl RM-109.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA113 SA VP
510_0_3013066,BioLib 1stFl RM-109.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA113 SUPFLOW
510_0_3013068,BioLib 1stFl RM-109.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA113 WC ADJ
510_0_3013069,BioLib 1stFl RM-109.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA113 ZN T
510_0_3013070,BioLib 1stFl RM-108.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA114 ACLG SP
510_0_3013071,BioLib 1stFl RM-108.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA114 AHTG SP
510_0_3013076,BioLib 1stFl RM-108.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA114 DMPRPOS
510_0_3013080,BioLib 1stFl RM-108.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA114 SA VP
510_0_3013082,BioLib 1stFl RM-108.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA114 SUPFLOW
510_0_3013084,BioLib 1stFl RM-108.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA114 WC ADJ
510_0_3013085,BioLib 1stFl RM-108.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA114 ZN T
510_0_3013086,BioLib 1stFl RM-104A.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA115 ACLG SP
510_0_3013087,BioLib 1stFl RM-104A.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA115 AHTG SP
510_0_3013092,BioLib 1stFl RM-104A.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA115 DMPRPOS
510_0_3013096,BioLib 1stFl RM-104A.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA115 SA VP
510_0_3013098,BioLib 1stFl RM-104A.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA115 SUPFLOW
510_0_3013100,BioLib 1stFl RM-104A.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA115 WC ADJ
510_0_3013101,BioLib 1stFl RM-104A.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA115 ZN T
510_0_3013102,BioLib 1stFl RM-107.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA116 ACLG SP
510_0_3013103,BioLib 1stFl RM-107.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA116 AHTG SP
510_0_3013108,BioLib 1stFl RM-107.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA116 DMPRPOS
510_0_3013112,BioLib 1stFl RM-107.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA116 SA VP
510_0_3013114,BioLib 1stFl RM-107.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA116 SUPFLOW
510_0_3013116,BioLib 1stFl RM-107.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA116 WC ADJ
510_0_3013117,BioLib 1stFl RM-107.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA116 ZN T
510_0_3013118,BioLib 1stFl RM-106.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA117 ACLG SP
510_0_3013119,BioLib 1stFl RM-106.AHTG-SP,Actual Heating Setpt,actual heating setpoint,64,Analog Input,0,NAE 10 N2 1 VMA117 AHTG SP
510_0_3013124,BioLib 1stFl RM-106.DMPRPOS,Actual Damper Position,damper position,98,Analog Input,0,NAE 10 N2 1 VMA117 DMPRPOS
510_0_3013128,BioLib 1stFl RM-106.SA-VP,Supply Vol Press,supply air velocity pressure,58,Analog Input,0,NAE 10 N2 1 VMA117 SA VP
510_0_3013130,BioLib 1stFl RM-106.SUPFLOW,Process Variable,supply air flow,84,Analog Input,0,NAE 10 N2 1 VMA117 SUPFLOW
510_0_3013132,BioLib 1stFl RM-106.WC-ADJ,Warm/Cool Adjust,warm cool adjust,64,Analog Input,0,NAE 10 N2 1 VMA117 WC ADJ
510_0_3013133,BioLib 1stFl RM-106.ZN-T,Zone Temperature,zone temperature,64,Analog Input,0,NAE 10 N2 1 VMA117 ZN T
510_0_3013134,BioLib 1stFl RM-105.ACLG-SP,Actual Cooling Setpt,actual cooling setpoint,64,Analog Input,0,NAE 10 N2 1 VMA118 ACLG SP
