source_id,jci_name,description,sensor_type,sensor_error,unit,type,data_type,name
607_2_3000187,BONNER.1ST-FLR.RM-1329.VAV-1329-1A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 011 ACTCLG STPT
607_2_3000223,BONNER.1ST-FLR.RM-1423.VAV-1423.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 014 ACTCLG STPT
607_2_3000249,BONNER.1ST-FLR.RM-1449.VAV-1449.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 015 ACTCLG STPT
607_2_3000258,BONNER.1ST-FLR.RM-1309.VAV-1309-1A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 016 ACTCLG STPT
607_2_3000304,BONNER.1ST-FLR.RM-1305.VAV-1305.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 VMA 019 ACTCLG STPT
607_2_3000314,BONNER.1ST-FLR.RM-1404.VAV-1404.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 SAV 021 ACTCLG STPT
607_2_3000340,BONNER.1ST-FLR.RM-1402.VAV-1402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 022 ACTCLG STPT
607_2_3000358,BONNER.1ST-FLR.RM-1413.VAV-1413.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 1 AH1 FEC 023 ACTCLG STPT
607_2_3000368,BONNER.2ND-FLR.RM-2129.VAV-2129.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 004 ACTCLG STPT
607_2_3000395,BONNER.2ND-FLR.RM-2230.VAV-2230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 005 ACTCLG STPT
607_2_3000405,BONNER.2ND-FLR.RM-2235.VAV-2235.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 007 ACTCLG STPT
607_2_3000422,BONNER.2ND-FLR.RM-2235A.VAV-2235A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 008 ACTCLG STPT
607_2_3000439,BONNER.2ND-FLR.RM-2229.VAV-2229.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 009 ACTCLG STPT
607_2_3000458,BONNER.2ND-FLR.RM-2222.VAV-2222.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 011 ACTCLG STPT
607_2_3000475,BONNER.2ND-FLR.RM-2121.VAV-2121-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 014 ACTCLG STPT
607_2_3000529,BONNER.2ND-FLR.RM-2213.VAV-2213.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 018 ACTCLG STPT
607_2_3000556,BONNER.2ND-FLR.RM-2214.VAV-2214.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 019 ACTCLG STPT
607_2_3000576,BONNER.2ND-FLR.RM-2121A.VAV-2121A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 021 ACTCLG STPT
607_2_3000586,BONNER.2ND-FLR.RM-2206.VAV-2206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 023 ACTCLG STPT
607_2_3000603,BONNER.2ND-FLR.RM-2201.VAV-2201.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 024 ACTCLG STPT
607_2_3000630,BONNER.2ND-FLR.RM-2202.VAV-2202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 025 ACTCLG STPT
607_2_3000650,BONNER.2ND-FLR.RM-2129A.VAV-2129A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 027 ACTCLG STPT
607_2_3000664,BONNER.2ND-FLR.RM-2150C.VAV-2150C.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 029 ACTCLG STPT
607_2_3000668,BONNER.2ND-FLR.RM-2145B.VAV-2145B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 030 ACTCLG STPT
607_2_3000695,BONNER.2ND-FLR.RM-2140.VAV-2140.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 031 ACTCLG STPT
607_2_3000721,BONNER.2ND-FLR.RM-2150.VAV-2150.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 034 ACTCLG STPT
607_2_3000725,BONNER.2ND-FLR.RM-2229C.VAV-2229-3.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 035 ACTCLG STPT
607_2_3000759,BONNER.2ND-FLR.RM-2001.VAV-2001.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 SAV 012 ACTCLG STPT
607_2_3000786,BONNER.2ND-FLR.RM-2150A.VAV-2150A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 013 ACTCLG STPT
607_2_3000791,BONNER.2ND-FLR.RM-2129B.VAV-2129B.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 FEC 028 ACTCLG STPT
607_2_3001410,BONNER.2ND-FLR.RM-2234.VAV-2234.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 107 FC 2 AH3 VMA 038 ACTCLG STPT
608_2_3000099,BONNER.2ND-FLR.RM-2242.VAV-2242.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 VMA 005 ACTCLG STPT
608_2_3000109,BONNER.2ND-FLR.RM-2000.VAV-2000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 SAV 009 ACTCLG STPT
608_2_3000144,BONNER.2ND-FLR.RM-2002.VAV-2002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 011 ACTCLG STPT
608_2_3000162,BONNER.2ND-FLR.RM-2325.VAV-2325.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 FEC 012 ACTCLG STPT
608_2_3000179,BONNER.2ND-FLR.RM-2417.VAV-2417-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 013 ACTCLG STPT
608_2_3000232,BONNER.2ND-FLR.RM-2422.VAV-2422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 017 ACTCLG STPT
608_2_3000259,BONNER.2ND-FLR.RM-2430.VAV-2430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 018 ACTCLG STPT
608_2_3000303,BONNER.2ND-FLR.RM-2317.VAV-2317-3.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 022 ACTCLG STPT
608_2_3000332,BONNER.2ND-FLR.RM-2418.VAV-2418.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 024 ACTCLG STPT
608_2_3000346,BONNER.2ND-FLR.RM-2414.VAV-2414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 025 ACTCLG STPT
608_2_3000356,BONNER.2ND-FLR.RM-2406.VAV-2406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 027 ACTCLG STPT
608_2_3000373,BONNER.2ND-FLR.RM-2401.VAV-2401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 028 ACTCLG STPT
608_2_3000436,BONNER.2ND-FLR.RM-2402.VAV-2402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 VMA 032 ACTCLG STPT
608_2_3000473,BONNER.3RD-FLR.RM-3126.VAV-3126.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 004 ACTCLG STPT
608_2_3000484,BONNER.3RD-FLR.RM-3125.VAV-3125.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 FEC 006 ACTCLG STPT
608_2_3000514,BONNER.3RD-FLR.RM-3146.VAV-3146.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 007 ACTCLG STPT
608_2_3000534,BONNER.3RD-FLR.RM-3142.VAV-3142.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 009 ACTCLG STPT
608_2_3000545,BONNER.3RD-FLR.RM-3145.VAV-3145.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 FEC 011 ACTCLG STPT
608_2_3000568,BONNER.3RD-FLR.RM-3113.VAV-3113-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 012 ACTCLG STPT
608_2_3000614,BONNER.3RD-FLR.RM-3214.VAV-3214.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 015 ACTCLG STPT
608_2_3000624,BONNER.3RD-FLR.RM-3205.VAV-3205-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 017 ACTCLG STPT
608_2_3000677,BONNER.3RD-FLR.RM-3206.VAV-3206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 021 ACTCLG STPT
608_2_3000694,BONNER.3RD-FLR.RM-3114.VAV-3114.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 022 ACTCLG STPT
608_2_3000721,BONNER.3RD-FLR.RM-3106.VAV-3106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 023 ACTCLG STPT
608_2_3000764,BONNER.3RD-FLR.RM-3202.VAV-3202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 VMA 027 ACTCLG STPT
608_2_3000768,BONNER.3RD-FLR.RM-3222.VAV-3222-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 028 ACTCLG STPT
608_2_3000785,BONNER.3RD-FLR.RM-3222.VAV-3222-2.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 029 ACTCLG STPT
608_2_3000802,BONNER.3RD-FLR.RM-3221.VAV-3221-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 030 ACTCLG STPT
608_2_3000848,BONNER.2ND-FLR.RM-2130.VAV-2130.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH3 VMA 007 ACTCLG STPT
608_2_3001473,BONNER.2ND-FLR.RM-2310.VAV-2310.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 1 AH1 SAV 034 ACTCLG STPT
608_2_3001902,BONNER.3RD-FLR.RM-3130.VAV-3130.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 108 FC 2 AH3 SAV 025 ACTCLG STPT
608_2_3001955,BONNER.2ND-FLR.RM-2002A.VAV-2002A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,95,Analog Value,2,NAE 108 FC 1 AHU1 SAV 010 ACTCLG STPT
608_2_3001983,BONNER.2ND-FLR.RM-2325.VAV2325-2.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,95,Analog Value,2,NAE 108 FC 1 AHU1 SAV 035 ACTCLG STPT
609_2_3000106,BONNER.3RD-FLR.RM-3230.VAV-3230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 VMA 005 ACTCLG STPT
609_2_3000126,BONNER.3RD-FLR.RM-3246.VAV-3246.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 VMA 007 ACTCLG STPT
609_2_3000136,BONNER.3RD-FLR.RM-3000.VAV-3000.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 SAV 009 ACTCLG STPT
609_2_3000153,BONNER.3RD-FLR.RM-3002.VAV-TM3002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 010 ACTCLG STPT
609_2_3000170,BONNER.3RD-FLR.RM-3329.VAV-3329.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 011 ACTCLG STPT
609_2_3000197,BONNER.3RD-FLR.RM-3326.VAV-3326.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 012 ACTCLG STPT
609_2_3000207,BONNER.3RD-FLR.RM-3318.VAV-3318.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 014 ACTCLG STPT
609_2_3000224,BONNER.3RD-FLR.RM-3317.VAV-3317-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 015 ACTCLG STPT
609_2_3000260,BONNER.3RD-FLR.RM-3422.VAV-3422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 018 ACTCLG STPT
609_2_3000278,BONNER.3RD-FLR.RM-3417.VAV-3417.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 FEC 019 ACTCLG STPT
609_2_3000308,BONNER.3RD-FLR.RM-3430.VAV-3430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 020 ACTCLG STPT
609_2_3000324,BONNER.3RD-FLR.RM-3401.VAV-3401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 023 ACTCLG STPT
609_2_3000387,BONNER.3RD-FLR.RM-3306.VAV-3306.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 027 ACTCLG STPT
609_2_3000407,BONNER.3RD-FLR.RM-3402.VAV-3402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 029 ACTCLG STPT
609_2_3000417,BONNER.3RD-FLR.RM-3406.VAV-3406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 SAV 031 ACTCLG STPT
609_2_3000444,BONNER.3RD-FLR.RM-3414.VAV-3414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH1 VMA 032 ACTCLG STPT
609_2_3000455,BONNER.4TH-FLR.RM-4121.VAV-4121.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 FEC 004 ACTCLG STPT
609_2_3000475,BONNER.4TH-FLR.RM-4221.VAV-4221-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 005 ACTCLG STPT
609_2_3000528,BONNER.4TH-FLR.RM-4222.VAV-4222.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 009 ACTCLG STPT
609_2_3000545,BONNER.4TH-FLR.RM-4126.VAV-4126.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 010 ACTCLG STPT
609_2_3000562,BONNER.4TH-FLR.RM-4141.VAV-4141.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 011 ACTCLG STPT
609_2_3000589,BONNER.4TH-FLR.RM-4134.VAV-4134.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 012 ACTCLG STPT
609_2_3000599,BONNER.4TH-FLR.RM-4145.VAV-4145.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 014 ACTCLG STPT
609_2_3000626,BONNER.4TH-FLR.RM-4146.VAV-4146.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 015 ACTCLG STPT
609_2_3000646,BONNER.4TH-FLR.RM-4122.VAV-4122.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 017 ACTCLG STPT
609_2_3000656,BONNER.4TH-FLR.RM-4105.VAV-4105-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 019 ACTCLG STPT
609_2_3000709,BONNER.4TH-FLR.RM-4205.VAV-4205-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 023 ACTCLG STPT
609_2_3000778,BONNER.4TH-FLR.RM-4218.VAV-4218.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 028 ACTCLG STPT
609_2_3000782,BONNER.4TH-FLR.RM-4206.VAV-4206.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 029 ACTCLG STPT
609_2_3000809,BONNER.4TH-FLR.RM-4202.VAV-4202.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 030 ACTCLG STPT
609_2_3000835,BONNER.4TH-FLR.RM-4106.VAV-4106.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 VMA 033 ACTCLG STPT
609_2_3000839,BONNER.4TH-FLR.RM-4110.VAV-4110.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 2 AH3 SAV 034 ACTCLG STPT
609_2_3001913,BONNER.3RD-FLR.RM-3105.VAV-3105.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 109 FC 1 AH3 SAV 004 ACTCLG STPT
610_2_3000075,BONNER.4TH-FLR.RM-4230.VAV-4230.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH3 VMA 005 ACTCLG STPT
610_2_3000095,BONNER.4TH-FLR.RM-4242.VAV-4242.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH3 VMA 007 ACTCLG STPT
610_2_3000099,BONNER.4TH-FLR.RM-4000.VAV-4000-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 008 ACTCLG STPT
610_2_3000133,BONNER.4TH-FLR.RM-TM4002.VAV-TM4002.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AHX SAV 010 ACTCLG STPT
610_2_3000160,BONNER.4TH-FLR.RM-4334.VAV-4334.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AHX VMA 011 ACTCLG STPT
610_2_3000170,BONNER.4TH-FLR.RM-4325A.VAV-4325A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 013 ACTCLG STPT
610_2_3000197,BONNER.4TH-FLR.RM-4430.VAV-4430.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 014 ACTCLG STPT
610_2_3000217,BONNER.4TH-FLR.RM-4326A.VAV-4326A.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 016 ACTCLG STPT
610_2_3000227,BONNER.4TH-FLR.RM-4325.VAV-4325.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 018 ACTCLG STPT
610_2_3000246,BONNER.4TH-FLR.RM-4417.VAV-4417-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 020 ACTCLG STPT
610_2_3000280,BONNER.4TH-FLR.RM-4422.VAV-4422.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 022 ACTCLG STPT
610_2_3000298,BONNER.4TH-FLR.RM-4305.VAV-4305.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 FEC 023 ACTCLG STPT
610_2_3000328,BONNER.4TH-FLR.RM-4306.VAV-4306.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 024 ACTCLG STPT
610_2_3000348,BONNER.4TH-FLR.RM-4318.VAV-4318.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 026 ACTCLG STPT
610_2_3000368,BONNER.4TH-FLR.RM-4414.VAV-4414.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 028 ACTCLG STPT
610_2_3000378,BONNER.4TH-FLR.RM-4401.VAV-4401-1.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 030 ACTCLG STPT
610_2_3000431,BONNER.4TH-FLR.RM-4310.VAV-4310.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 034 ACTCLG STPT
610_2_3000448,BONNER.4TH-FLR.RM-4406.VAV-4406.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 SAV 035 ACTCLG STPT
610_2_3000475,BONNER.4TH-FLR.RM-4402.VAV-4402.ACTCLG-STPT,Actual Cooling Setpoint,actual cooling setpoint,,64,Analog Value,2,NAE 110 FC 1 AH1 VMA 036 ACTCLG STPT
